reporter,date,document_id,title,year,abstract,authors,document_type,pubtitle,document_url
tiasia,1926-05-01,530639421,MURDER AND SUICIDE CAUSE STILL UNKNOWN: RELATIVES OF GEORGE SMITH UNABLE TO THROW LIGHT ON TRAGEDY WOMAN THOUGHT TO HAVE BEEN MARRIED SISTER OF DEAD MAN NOT CERTAIN WHETHER MARRIAGE DISCOVERY CAUSED ACT,1926,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/murder-suicide-cause-still-unknown/docview/530639421/sem-2?accountid=14696
tiasia,1926-05-15,530627592,"""Bill"" Pickett With ""101"" Shows",1926,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/bill-pickett-with-101-shows/docview/530627592/sem-2?accountid=14696
tiasia,1926-05-15,530628222,"LANSEY SCORES CHELTENHAM IN ""JURY"" REPORT: BOYS AT REFORM SCHOOL TAUGHT TRADE THEY CAN'T USE BROOM FACTORY IS CALLED FIRE TRAP HIRING OUT OF BOYS ONLY ANOTHER KIND OF PEONAGE",1926,In a minority report filed with the annual report of the Grand Jury resulting from their investigations of city and state...,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/lansey-scores-cheltenham-jury-report/docview/530628222/sem-2?accountid=14696
tiasia,1926-06-12,530631233,CHELTENHAM OFFICERS INVITED BY PASTORS,1926,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-officers-invited-pastors/docview/530631233/sem-2?accountid=14696
haley,1926-06-12,530632139,CHELTENHAM OFFICERS INVITED BY PASTORS,1926,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-officers-invited-pastors/docview/530632139/sem-2?accountid=14696
haley,1926-07-03,530610417,DAY BY DAY: WHEN YOUNG LIONS TASTE BLOOD,1926,"A graduate of one of our high schools, applying to the business and industry section of this paper to help him secure a job, told this writer that he just could not afford...","Jones, William",article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/day/docview/530610417/sem-2?accountid=14696
haley,1926-07-10,530623436,Both Governor and Mayor to blame if bad conditions persist at Cheltenham.,1926,I understand that Mayor Jackson and Governor Ritchie are disposed to anticipate the votes of any number of colored men and women forre-election to the positions which...,NA,letter_to_editor,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/both-governor-mayor-blame-if-bad-conditions/docview/530623436/sem-2?accountid=14696
haley,1926-09-25,530630135,CHELTENHAM LADS STILL MISSING,1926,None available.,NA,article,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/cheltenham-lads-still-missing/docview/530630135/sem-2?accountid=14696
haley,1926-09-25,530648053,TWO LADS FLEE CRUELTIES AT CHELTENHAM: BUTLER AND CLARK ESCAPE FEARING BEATINGS BY GUARDS HEAD-TAILOR QUITS OUT OF SYMPATHY DECLINES TO SERVE INSTITUTION WHICH MISTREATS YOUNGSTERS,1926,"Two lads, whose names were given as John Butler and M. Clark, inmates of the House of Reformation at Cheltenham, Prince...",NA,front_page,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/two-lads-flee-cruelties-at-cheltenham/docview/530648053/sem-2?accountid=14696
haley,1927-01-15,530675020,FORUM,1927,Truth Not Ignorant--Just A Liar. To the Editor: The questions raised by the socalled Truth in the Afro-American for Jan.,Joseph JacksonJohn ThomasHenry ArnoldMrs Mattie NophlinTruthWilliam FreemanJas BlairThe Congo Lady,letter_to_editor,Afro-American (1893-),https://www.proquest.com/hnpbaltimoreafricanamerican/newspapers/forum/docview/530675020/sem-2?accountid=14696
